name,url,version
index_classes,https://www.mvtec.com/doc/halcon/12/en/index_classes.html,h12
index_by_name,https://www.mvtec.com/doc/halcon/12/en/index_by_name.html,h12
toc_1dmeasuring,https://www.mvtec.com/doc/halcon/12/en/toc_1dmeasuring.html,h12
toc_2dmetrology,https://www.mvtec.com/doc/halcon/12/en/toc_2dmetrology.html,h12
toc_3dmatching,https://www.mvtec.com/doc/halcon/12/en/toc_3dmatching.html,h12
toc_3dmatching_deformablesurfacebased,https://www.mvtec.com/doc/halcon/12/en/toc_3dmatching_deformablesurfacebased.html,h12
toc_3dmatching_shapebased,https://www.mvtec.com/doc/halcon/12/en/toc_3dmatching_shapebased.html,h12
toc_3dmatching_surfacebased,https://www.mvtec.com/doc/halcon/12/en/toc_3dmatching_surfacebased.html,h12
toc_3dobjectmodel,https://www.mvtec.com/doc/halcon/12/en/toc_3dobjectmodel.html,h12
toc_3dobjectmodel_creation,https://www.mvtec.com/doc/halcon/12/en/toc_3dobjectmodel_creation.html,h12
toc_3dobjectmodel_features,https://www.mvtec.com/doc/halcon/12/en/toc_3dobjectmodel_features.html,h12
toc_3dobjectmodel_segmentation,https://www.mvtec.com/doc/halcon/12/en/toc_3dobjectmodel_segmentation.html,h12
toc_3dobjectmodel_transformations,https://www.mvtec.com/doc/halcon/12/en/toc_3dobjectmodel_transformations.html,h12
toc_3dreconstruction,https://www.mvtec.com/doc/halcon/12/en/toc_3dreconstruction.html,h12
toc_3dreconstruction_binocularstereo,https://www.mvtec.com/doc/halcon/12/en/toc_3dreconstruction_binocularstereo.html,h12
toc_3dreconstruction_depthfromfocus,https://www.mvtec.com/doc/halcon/12/en/toc_3dreconstruction_depthfromfocus.html,h12
toc_3dreconstruction_multiviewstereo,https://www.mvtec.com/doc/halcon/12/en/toc_3dreconstruction_multiviewstereo.html,h12
toc_3dreconstruction_photometricstereo,https://www.mvtec.com/doc/halcon/12/en/toc_3dreconstruction_photometricstereo.html,h12
toc_3dreconstruction_sheetoflight,https://www.mvtec.com/doc/halcon/12/en/toc_3dreconstruction_sheetoflight.html,h12
toc_calibration,https://www.mvtec.com/doc/halcon/12/en/toc_calibration.html,h12
toc_calibration_binocular,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_binocular.html,h12
toc_calibration_calibrationobject,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_calibrationobject.html,h12
toc_calibration_cameraparameters,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_cameraparameters.html,h12
toc_calibration_handeye,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_handeye.html,h12
toc_calibration_inverseprojection,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_inverseprojection.html,h12
toc_calibration_monocular,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_monocular.html,h12
toc_calibration_multiview,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_multiview.html,h12
toc_calibration_projection,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_projection.html,h12
toc_calibration_rectification,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_rectification.html,h12
toc_calibration_selfcalibration,https://www.mvtec.com/doc/halcon/12/en/toc_calibration_selfcalibration.html,h12
toc_classification,https://www.mvtec.com/doc/halcon/12/en/toc_classification.html,h12
